ma_GeV,gagg_TeV-1
6.0950053794709635,0.13514195297116166
6.205061838996414,0.12223440433559203
6.317105569004689,0.1207101721279013
6.4311724532956935,0.1207101721279013
6.547299023616911,0.1207101721279013
6.665522471363266,0.119204946711593
6.785880659488318,0.119204946711593
6.908412134630402,0.11771849107676995
7.033156139457856,0.11771849107676995
7.160152625237103,0.11625057116898896
7.289442264627685,0.11055966910930592
7.421066464708332,0.10647507542771903
7.555067380238245,0.10254138582967424
7.69148792715783,0.09752159987978366
7.830371796333219,0.09630553011374461
7.971763467548968,0.09044889588185552
8.115708223753419,0.08710728866104989
8.262252165561296,0.09044889588185552
8.411442226018156,0.0927475513048937
8.56332618563146,0.09510462443112612
8.717952687673035,0.09875302520924797
8.875371253757873,0.10126272059829033
9.035632299704206,0.10647507542771903
9.19878715168,0.10647507542771903
9.364888062640965,0.10781955813719
9.53398822906541,0.10781955813719
9.706141807991264,0.10918101790677393
9.881403934360739,0.11055966910930592
10.059830738678178,0.11055966910930592
10.241479364986743,0.10781955813719
10.42640798916972,0.1
10.614675837582267,0.0927475513048937
10.80634320601961,0.08932102095169515
11.001471479027739,0.08284305973322832
11.200123149562788,0.07587679737879462
11.402361839005406,0.07037387157740778
11.608252317536529,0.06692880626133668
11.817860524881059,0.0644561416687814
12.031253591426104,0.061300771456889135
12.248499859720644,0.05903603291537213
12.469668906363198,0.058299868467457314
12.69483156428493,0.05757288380462654
12.924059945435006,0.05685496445727389
13.15742746387561,0.05614599738320066
13.395008859293963,0.055445870949815804
13.636880220938915,0.055445870949815804
13.883119011989736,0.0547544749165587
14.133804094364951,0.05407170041754058
14.38901575397913,0.05614599738320066
14.64883572645573,0.058299868467457314
14.913347223304251,0.06053636629028516
15.182634958570047,0.06285866057617544
15.456785175965358,0.06692880626133668
15.735885676490245,0.07037387157740778
16.020025846552258,0.07493063284345106
16.30929668659388,0.07493063284345106
16.603790840236854,0.07126249694963017
16.903602623952814,0.06692880626133668
17.208828057269635,0.06365238983108028
17.51956489352321,0.062074828924986156
17.835912651164552,0.06053636629028516
18.157972645632142,0.05903603291537213
18.485848021799853,0.05903603291537213
18.81964378701072,0.05903603291537213
19.159466844707236,0.059781493063408
19.5054260286689,0.05903603291537213
19.85763213786797,0.058299868467457314
20.21619797195461,0.05757288380462654
20.581238367382785,0.05903603291537213
20.95287023418843,0.061300771456889135
21.33121259343195,0.062074828924986156
21.71638661531634,0.06285866057617544
22.108515657994076,0.0644561416687814
22.507725307074487,0.0652700426464963
22.91414341584456,0.06692880626133668
23.327900146216002,0.07037387157740778
23.74912801041169,0.07493063284345106
24.177961913404815,0.07780511955538993
24.614539196124372,0.07683490932861968
25.0589996794408,0.07399626674134227
25.511485708945838,0.07399626674134227
25.972142200540997,0.07587679737879462
26.441116686849192,0.07683490932861968
26.91855936446444,0.07878758082654026
27.4046231420547,0.07878758082654026
27.899463689333356,0.07587679737879462
28.40323948691492,0.07216234317746917
28.916111877070982,0.07399626674134227
29.438245115402676,0.07493063284345106
29.969806423446155,0.07683490932861968
30.510966042227963,0.07683490932861968
31.061897286787477,0.07126249694963017
31.622776601683793,0.06862972545963242
32.19378361750495,0.0694963271395613
32.77510120839747,0.07037387157740778
33.36691555063479,0.07126249694963017
33.96941618224315,0.07307355194898003
34.58279606370418,0.07493063284345106
35.207251639753615,0.07587679737879462
35.84298290229587,0.07780511955538993
36.49019345445462,0.07978244783853164
37.14909057577999,0.0807898772412091
37.81988528863306,0.08181002766246732
38.502792425769485,0.08284305973322832
39.19803069914265,0.08494842151415714
39.90582276994998,0.08710728866104989
40.6263953199437,0.09044889588185552
41.35997912402927,0.08932102095169515
42.10680912417479,0.09159101272108189
42.86712450465487,0.0927475513048937
43.64116876865329,0.09510462443112612
44.429189816248744,0.09752159987978366
45.23144002380885,0.09875302520924797
46.0481763248177,0.10126272059829033
46.879660292162946,0.10254138582967424
47.72615822190868,0.10514735807870107
48.587941218581065,0.10781955813719
49.465285281993836,0.11055966910930592
50.35847139564172,0.11336941687338445
51.267785616689885,0.11480095585240642
52.19351916758832,0.11771849107676995
53.1359685293405,0.1207101721279013
54.095435536456186,0.12377788333733518
55.07222747361874,0.1269235569247408
56.06665717409798,0.13014917421494468
57.079043119940096,0.13345676688588132
58.10970954396652,0.13684841824826036
59.15898653361478,0.13857643141391565
60.22721013665425,0.1438924963605368
61.31472246881086,0.147549359873008
62.421871823335074,0.1532096440347094
63.54901278254847,0.15710329221790187
64.69650633140436,0.15908706784932955
65.86471997309889,0.16518996122178536
67.05402784677031,0.1693880754883202
68.26481084732232,0.17369288003593808
69.49745674741224,0.17588613580991577
70.75236032164129,0.17369288003593808
72.02992347298746,0.1803560811417504
73.33055536152145,0.18727489577050796
74.65467253544668,0.19203427343415685
76.0026990645055,0.19940108652883054
77.37506667579444,0.2044686374860905
78.77221489203158,0.21231245728526338
80.19459117232084,0.22045718146663562
81.64265105545793,0.22605984903692794
83.11685830582387,0.2347319502524237
84.61768506191305,0.24069739477385652
86.14561198754312,0.2530869515689719
87.70112842579525,0.2595188674929
89.28473255573412,0.26947452258077725
90.89693155195778,0.27981209621348435
92.53824174702835,0.29421502675311223
94.2091887968359,0.30550169487216416
95.91030784894812,0.31722134181842065
97.6421437139999,0.32939057751279355
